Molecule,Molecule Formula,Replicate Name,Normalization Method,Average Measured Retention Time,Total Area Fragment,Normalized Area
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample165,Ratio to Global Standards,5.17,8704633,1.50E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample166,Ratio to Global Standards,5.17,8643839,1.58E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample167,Ratio to Global Standards,5.17,20382912,3.69E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample168,Ratio to Global Standards,5.17,22967902,4.30E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample169,Ratio to Global Standards,5.17,13284396,2.53E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample170,Ratio to Global Standards,5.17,5449654,9.31E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample171,Ratio to Global Standards,5.17,3102578,5.28E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample172,Ratio to Global Standards,5.17,25364708,4.52E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample173,Ratio to Global Standards,5.17,20137776,3.32E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample174,Ratio to Global Standards,5.17,9894269,1.63E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample175,Ratio to Global Standards,5.17,7541021,1.43E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample176,Ratio to Global Standards,5.17,4852663,8.15E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample177,Ratio to Global Standards,5.17,7483934,1.33E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample178,Ratio to Global Standards,5.17,9260651,1.58E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample179,Ratio to Global Standards,5.17,16575896,2.77E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample180,Ratio to Global Standards,5.17,6704292,1.12E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample181,Ratio to Global Standards,5.17,34285424,5.37E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,Sample182,Ratio to Global Standards,5.17,3732267,5.87E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,db,Ratio to Global Standards,5.17,15138,1.47E+00
1-METHYL-L-HISTIDINE,C7H11N3O2,iroa_end,Ratio to Global Standards,5.17,3370091,5.74E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,iroa_start,Ratio to Global Standards,5.17,4514781,5.68E-02
1-METHYL-L-HISTIDINE,C7H11N3O2,pb,Ratio to Global Standards,5.17,19681,2.70E-04
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_115-133,Ratio to Global Standards,5.17,13252464,2.35E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_1-19,Ratio to Global Standards,5.17,12946500,2.18E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_134-152,Ratio to Global Standards,5.17,13115599,2.34E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_153-171,Ratio to Global Standards,5.17,12829768,2.42E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_172-182,Ratio to Global Standards,5.17,12985857,2.45E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_20-38,Ratio to Global Standards,5.17,13419323,2.24E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_39-57,Ratio to Global Standards,5.17,14544269,2.41E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_58-76,Ratio to Global Standards,5.17,13861534,2.39E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_77-95,Ratio to Global Standards,5.17,12688018,2.34E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_96-114,Ratio to Global Standards,5.17,11454793,2.08E-01
1-METHYL-L-HISTIDINE,C7H11N3O2,pool_final,Ratio to Global Standards,5.17,7832513,2.06E-01
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample1,Ratio to Global Standards,5.53,55418,8.38E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample2,Ratio to Global Standards,5.53,33005,4.78E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample3,Ratio to Global Standards,5.53,19920,2.75E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample4,Ratio to Global Standards,5.53,11888,1.48E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample5,Ratio to Global Standards,5.53,16774,2.19E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample6,Ratio to Global Standards,5.53,18303,2.56E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample7,Ratio to Global Standards,5.53,10751,1.41E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample8,Ratio to Global Standards,5.53,19987,2.89E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample9,Ratio to Global Standards,5.53,31271,4.58E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample10,Ratio to Global Standards,5.53,55138,7.75E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample11,Ratio to Global Standards,5.53,16408,2.31E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample12,Ratio to Global Standards,5.53,32496,4.81E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample13,Ratio to Global Standards,5.53,40013,6.57E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample14,Ratio to Global Standards,5.53,16393,2.29E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample15,Ratio to Global Standards,5.53,21109,3.11E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample16,Ratio to Global Standards,5.53,22280,3.26E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample17,Ratio to Global Standards,5.53,12660,1.96E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample18,Ratio to Global Standards,5.53,6651,9.79E-05
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample19,Ratio to Global Standards,5.53,21459,3.29E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample20,Ratio to Global Standards,5.53,12334,1.99E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample21,Ratio to Global Standards,5.53,7227,1.20E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample22,Ratio to Global Standards,5.53,25128,4.02E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample23,Ratio to Global Standards,5.53,10508,1.75E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample24,Ratio to Global Standards,5.53,21856,3.89E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample25,Ratio to Global Standards,5.53,22160,3.81E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample26,Ratio to Global Standards,5.53,12906,2.07E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample27,Ratio to Global Standards,5.53,64726,1.03E-03
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample28,Ratio to Global Standards,5.53,21228,3.47E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample29,Ratio to Global Standards,5.53,8152,1.25E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample30,Ratio to Global Standards,5.53,19558,3.27E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample31,Ratio to Global Standards,5.53,11746,1.92E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample32,Ratio to Global Standards,5.53,28259,4.87E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample33,Ratio to Global Standards,5.53,17404,2.79E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample34,Ratio to Global Standards,5.53,6448,1.03E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample35,Ratio to Global Standards,5.53,22350,3.63E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample36,Ratio to Global Standards,5.53,13059,2.02E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample37,Ratio to Global Standards,5.53,2442,4.35E-05
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample38,Ratio to Global Standards,5.53,23840,3.58E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample39,Ratio to Global Standards,5.53,6811,1.19E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample40,Ratio to Global Standards,5.53,19281,3.35E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample41,Ratio to Global Standards,5.53,34126,5.81E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample42,Ratio to Global Standards,5.53,18377,3.03E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample43,Ratio to Global Standards,5.53,21624,3.78E-04
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,Sample44,Ratio to Global Standards,5.53,35354,6.11E-04
