Chamber	Genotype	Time	Fecundity	Interval	N	Block
252	Ral_440	Day12	35	2.085	20	Block1
257	Ral_101	Day12	39	2.085	25	Block1
259	Ral_443	Day12	21	2.085	25	Block1
260	Ral_443	Day12	16	2.085	22	Block1
275	Ral_502	Day12	62	2.085	22	Block1
4	Ral_362	Day04	72	2	21	Block2
16	Ral_228	Day04	133	2	24	Block2
23	Ral_796	Day04	155	2	25	Block2
25	Ral_208	Day04	123	2	24	Block2
29	Ral_138	Day04	57	2	24	Block2
67	Ral_208	Day04	141	2	27	Block2
69	Ral_796	Day04	167	2	24	Block2
87	Ral_362	Day04	27	2	22	Block2
97	Ral_320	Day04	54	2	25	Block2
103	Ral_405	Day04	24	2	23	Block2
120	Ral_362	Day04	50	2	25	Block2
130	Ral_355	Day04	41	2	25	Block2
138	Ral_228	Day04	104	2	25	Block2
158	Ral_228	Day04	124	2	25	Block2
163	Ral_228	Day04	75	2	24	Block2
164	Ral_138	Day04	39	2	25	Block2
166	Ral_405	Day04	25	2	27	Block2
167	Ral_362	Day04	29	2	25	Block2
181	Ral_136	Day04	38	2	25	Block2
182	Ral_796	Day04	148	2	26	Block2
201	Ral_362	Day04	57	2	32	Block2
216	Ral_796	Day04	96	2	25	Block2
219	Ral_355	Day04	32	2	25	Block2
223	Ral_208	Day04	111	2	30	Block2
226	Ral_136	Day04	41	2	25	Block2
229	Ral_136	Day04	52	2	16	Block2
271	Ral_405	Day04	55	2	27	Block2
273	Ral_208	Day04	90	2	16	Block2
275	Ral_355	Day04	49	2	23	Block2
292	Ral_405	Day04	59	2	24	Block2
298	Ral_138	Day04	93	2	25	Block2
309	Ral_796	Day04	160	2	23	Block2
330	Ral_228	Day04	75	2	25	Block2
331	Ral_136	Day04	51	2	25	Block2
343	Ral_355	Day04	35	2	25	Block2
353	Ral_320	Day04	65	2	24	Block2
363	Ral_405	Day04	41	2	25	Block2
364	Ral_136	Day04	58	2	25	Block2
366	Ral_320	Day04	64	2	25	Block2
376	Ral_138	Day04	47	2	25	Block2
379	Ral_320	Day04	65	2	25	Block2
389	Ral_355	Day04	55	2	21	Block2
390	Ral_320	Day04	59	2	25	Block2
394	Ral_138	Day04	26	2	24	Block2
4	Ral_362	Day08	39	2.02541667	21	Block2
16	Ral_228	Day08	64	2.02541667	24	Block2
23	Ral_796	Day08	85	2.02541667	25	Block2
25	Ral_208	Day08	89	2.02541667	24	Block2
29	Ral_138	Day08	14	2.02541667	24	Block2
67	Ral_208	Day08	77	2.02541667	27	Block2
69	Ral_796	Day08	112	2.02541667	24	Block2
87	Ral_362	Day08	43	2.02541667	22	Block2
97	Ral_320	Day08	56	2.02541667	25	Block2
103	Ral_405	Day08	16	2.02541667	23	Block2
120	Ral_362	Day08	21	2.02541667	25	Block2
130	Ral_355	Day08	17	2.02541667	25	Block2
138	Ral_228	Day08	62	2.02541667	25	Block2
158	Ral_228	Day08	83	2.02541667	25	Block2
163	Ral_228	Day08	74	2.02541667	24	Block2
164	Ral_138	Day08	16	2.02541667	24	Block2
166	Ral_405	Day08	15	2.02541667	27	Block2
167	Ral_362	Day08	22	2.02541667	25	Block2
181	Ral_136	Day08	41	2.02541667	25	Block2
182	Ral_796	Day08	165	2.02541667	26	Block2
201	Ral_362	Day08	29	2.02541667	32	Block2
216	Ral_796	Day08	136	2.02541667	25	Block2
219	Ral_355	Day08	28	2.02541667	25	Block2
223	Ral_208	Day08	62	2.02541667	30	Block2
226	Ral_136	Day08	33	2.02541667	25	Block2
229	Ral_136	Day08	55	2.02541667	16	Block2
271	Ral_405	Day08	37	2.02541667	27	Block2
273	Ral_208	Day08	83	2.02541667	16	Block2
275	Ral_355	Day08	26	2.02541667	23	Block2
292	Ral_405	Day08	11	2.02541667	24	Block2
298	Ral_138	Day08	29	2.02541667	25	Block2
309	Ral_796	Day08	120	2.02541667	23	Block2
330	Ral_228	Day08	79	2.02541667	25	Block2
331	Ral_136	Day08	24	2.02541667	25	Block2
343	Ral_355	Day08	17	2.02541667	25	Block2
353	Ral_320	Day08	64	2.02541667	24	Block2
363	Ral_405	Day08	25	2.02541667	25	Block2
364	Ral_136	Day08	29	2.02541667	25	Block2
366	Ral_320	Day08	60	2.02541667	25	Block2
376	Ral_138	Day08	21	2.02541667	25	Block2
379	Ral_320	Day08	61	2.02541667	25	Block2
389	Ral_355	Day08	54	2.02541667	21	Block2
390	Ral_320	Day08	64	2.02541667	25	Block2
394	Ral_138	Day08	38	2.02541667	24	Block2
4	Ral_362	Day12	29	1.91291667	21	Block2
16	Ral_228	Day12	78	1.91291667	24	Block2
23	Ral_796	Day12	92	1.91291667	25	Block2
25	Ral_208	Day12	260	1.91291667	24	Block2
29	Ral_138	Day12	5	1.91291667	24	Block2
67	Ral_208	Day12	133	1.91291667	27	Block2
69	Ral_796	Day12	99	1.91291667	24	Block2
87	Ral_362	Day12	36	1.91291667	22	Block2
97	Ral_320	Day12	82	1.91291667	25	Block2
103	Ral_405	Day12	1	1.91291667	22	Block2
120	Ral_362	Day12	24	1.91291667	25	Block2
130	Ral_355	Day12	9	1.91291667	25	Block2
138	Ral_228	Day12	37	1.91291667	25	Block2
158	Ral_228	Day12	35	1.91291667	25	Block2
163	Ral_228	Day12	40	1.91291667	24	Block2
164	Ral_138	Day12	9	1.91291667	24	Block2
166	Ral_405	Day12	0	1.91291667	27	Block2
167	Ral_362	Day12	11	1.91291667	25	Block2
181	Ral_136	Day12	20	1.91291667	25	Block2
182	Ral_796	Day12	85	1.91291667	26	Block2
201	Ral_362	Day12	14	1.91291667	32	Block2
216	Ral_796	Day12	89	1.91291667	25	Block2
219	Ral_355	Day12	27	1.91291667	25	Block2
223	Ral_208	Day12	85	1.91291667	30	Block2
226	Ral_136	Day12	21	1.91291667	25	Block2
229	Ral_136	Day12	37	1.91291667	16	Block2
271	Ral_405	Day12	9	1.91291667	27	Block2
273	Ral_208	Day12	93	1.91291667	16	Block2
275	Ral_355	Day12	18	1.91291667	23	Block2
292	Ral_405	Day12	30	1.91291667	24	Block2
298	Ral_138	Day12	13	1.91291667	25	Block2
309	Ral_796	Day12	54	1.91291667	23	Block2
330	Ral_228	Day12	78	1.91291667	25	Block2
331	Ral_136	Day12	23	1.91291667	25	Block2
343	Ral_355	Day12	5	1.91291667	25	Block2
353	Ral_320	Day12	67	1.91291667	24	Block2
363	Ral_405	Day12	17	1.91291667	25	Block2
364	Ral_136	Day12	23	1.91291667	25	Block2
366	Ral_320	Day12	57	1.91291667	25	Block2
376	Ral_138	Day12	18	1.91291667	25	Block2
379	Ral_320	Day12	65	1.91291667	25	Block2
389	Ral_355	Day12	18	1.91291667	21	Block2
390	Ral_320	Day12	67	1.91291667	25	Block2
394	Ral_138	Day12	18	1.91291667	24	Block2
